Textbook,Chapter Number,Maximun Chapter,Chapter Title,Category,Scenario Instances,Library name,Target Audience
20 python libraries you aren't using but should,4,11,Easier Python Packaging with flit,Scenario,Others/Generic,Flit,Generic
20 python libraries you aren't using but should,5,11,Command-Line Applications,Scenario,Others/Generic,,Generic
20 python libraries you aren't using but should,6,11,Graphical User Interfaces,Scenario,GUI,,Generic
20 python libraries you aren't using but should,8,11,Web APIs with hug,Scenario,API,,Generic
20 python libraries you aren't using but should,9,11,Dates and Times,Scenario,Others/Generic,,Generic
20 python libraries you aren't using but should,10,11,General-Purpose Libraries,Scenario,Others/Generic,,Generic
2019 Book A Beginner's Guide To Python 3 Program,8,37,Number Guessing Game,Scenario,Others/Generic,,Generic
2019 Book A Beginner's Guide To Python 3 Program,16,37,Curried Functions,Scenario,Data and Processing,,Generic
2019 Book A Beginner's Guide To Python 3 Program,25,37,Python Modules and Packages,Scenario,Others/Generic,,Generic
2019 Book A Beginner's Guide To Python 3 Program,37,37,TicTacToe Game,Scenario,GUI,,Generic
2019 Book Advanced Guide To Python3 Programm,3,41,Python Turtle Graphics,Scenario,GUI,,Generic
2019 Book Advanced Guide To Python3 Programm,4,41,Computer Generated Art,Scenario,GUI,,Generic
2019 Book Advanced Guide To Python3 Programm,6,41,Graphing with Matplotlib pyplot,Scenario,GUI,Matplotlib,Generic
2019 Book Advanced Guide To Python3 Programm,7,41,Graphical User Interfaces,Scenario,Others/Generic,,Generic
2019 Book Advanced Guide To Python3 Programm,8,41,The wxPython GUI Library,Scenario,GUI,wxPython,Generic
2019 Book Advanced Guide To Python3 Programm,9,41,Events in wxPython User Interfaces,Scenario,Others/Generic,wxPython,Generic
2019 Book Advanced Guide To Python3 Programm,10,41,PyDraw wxPython Example Application,Scenario,GUI,PyDraw ,Generic
2019 Book Advanced Guide To Python3 Programm,12,41,Building Games with pygame,Scenario,Data and Processing,,Generic
2019 Book Advanced Guide To Python3 Programm,13,41,StarshipMeteors pygame,Scenario,Data and Processing,,Generic
2019 Book Advanced Guide To Python3 Programm,20,41,Working with CSV Files,Scenario,Data and Processing,,Generic
